Week,Dates,name,value
1,1/10 - 1/14,Monday,Syllabus + Intro
1,1/10 - 1/14,Wednesday,Topic 1 - Economic Fundamentals <br/> Lecture 1
1,1/10 - 1/14,Friday,Lecture 2
2,1/17 - 1/21,Monday,No Class <br/> <i>MLK Jr. Day</i>
2,1/17 - 1/21,Wednesday,Lecture 3
2,1/17 - 1/21,Friday,Lecture 4
3,1/24 - 1/28,Monday,Lecture 5
3,1/24 - 1/28,Wednesday,Lecture 6
3,1/24 - 1/28,Friday,Lecture 7
4,1/31 - 2/4,Monday,Lecture 8
4,1/31 - 2/4,Wednesday,
4,1/31 - 2/4,Friday,Lecture 9
5,2/7 - 2/11,Monday,Lecture 10
5,2/7 - 2/11,Wednesday,Lecture 11
5,2/7 - 2/11,Friday,Lecture 12
6,2/14 - 2/18,Monday,Review
6,2/14 - 2/18,Wednesday,Midterm
6,2/14 - 2/18,Friday,Topic 2 - Energy Resources <br/> Lecture 13
7,2/21 - 2/25,Monday,Lecture 14
7,2/21 - 2/25,Wednesday,Lecture 15
7,2/21 - 2/25,Friday,Lecture 16
8,2/28 - 3/4,Monday,Lecture 17
8,2/28 - 3/4,Wednesday,Lecture 18
8,2/28 - 3/4,Friday,Lecture 19
9,3/7 - 3/11,Monday,Lecture 20
9,3/7 - 3/11,Wednesday,Lecture 21
9,3/7 - 3/11,Friday,Topic 3 - Pollution and Climate Change <br/> Lecture 22
10,3/14 - 3/18,Monday,Lecture 23
10,3/14 - 3/18,Wednesday,Lecture 24
10,3/14 - 3/18,Friday,Lecture 25
11,3/21 - 3/25,Monday,No Class <br/> <i>Spring Break</i>
11,3/21 - 3/25,Wednesday,No Class <br/> <i>Spring Break</i>
11,3/21 - 3/25,Friday,No Class <br/> <i>Spring Break</i>
12,3/28 - 4/1,Monday,Lecture 26
12,3/28 - 4/1,Wednesday,Review
12,3/28 - 4/1,Friday,Midterm
13,4/4 - 4/8,Monday,Topic 4 - Valuation and Non-Energy Resources <br/> Lecture 27
13,4/4 - 4/8,Wednesday,Lecture 28
13,4/4 - 4/8,Friday,Lecture 29
14,4/11 - 4/15,Monday,Lecture 30
14,4/11 - 4/15,Wednesday,Lecture 31
14,4/11 - 4/15,Friday,Lecture 32
15,4/18 - 4/22,Monday,Lecture 33
15,4/18 - 4/22,Wednesday,Lecture 34
15,4/18 - 4/22,Friday,Lecture 35
16,4/25 - 4/27,Monday,Lecture 36
16,4/25 - 4/27,Wednesday,
5,2/14 - 2/18,Assignments,Math Assignment
14,4/11 - 4/15,Assignments,Writing Assignment
Final,05/04 <br/><i>1:30-4pm</i>,Assignments,Final Exam